,region,version,year,km,price,argus,cost,phone,vendor label,latitude,longitude,URL
0,ile_de_france,"{'0.9 TCE 90 ENERGY S&S INTENS ECO2': None, '0.9 TCE 90 ENERGY S&S ZEN ECO2': None, '1.2 TCE 120 ZEN EDC Essence': None, '0.9 TCE 90 ENERGY S&S LIFE ECO2': None, '1.2 TCE 120 INTENS EDC Essence': None, '1.5 DCI 90 ENERGY ARIZONA ECO2': None, '1.5 DCI 90 BUSINESS EDC Diesel': None, '1.5 DCI 90 ARIZONA EDC ECO2 Diesel': None, '0.9 TCE 90 ENERGY ARIZONA ECO2': None, '1.2 TCE 120 ARIZONA EDC Essence': None}",2014,10.0,19840.0,Nan,less expensive,0184141900 ,Professionnel,48.921454,2.8083725,http://www.leboncoin.fr/voitures/727655333.htm?ca=12_s
0,ile_de_france,"{'0.9 TCE 90 ENERGY S&S INTENS ECO2': None, '0.9 TCE 90 ENERGY S&S ZEN ECO2': None, '1.2 TCE 120 ZEN EDC Essence': None, '0.9 TCE 90 ENERGY S&S LIFE ECO2': None, '1.2 TCE 120 INTENS EDC Essence': None, '1.5 DCI 90 ENERGY ARIZONA ECO2': None, '1.5 DCI 90 BUSINESS EDC Diesel': None, '1.5 DCI 90 ARIZONA EDC ECO2 Diesel': None, '0.9 TCE 90 ENERGY ARIZONA ECO2': None, '1.2 TCE 120 ARIZONA EDC Essence': None}",2013,14697.0,15200.0,Nan,less expensive,0169936710 ,Professionnel,48.7216892,2.2830555,http://www.leboncoin.fr/voitures/716161502.htm?ca=12_s
0,ile_de_france,"{'0.9 TCE 90 ENERGY S&S INTENS ECO2': None, '0.9 TCE 90 ENERGY S&S ZEN ECO2': None, '1.2 TCE 120 ZEN EDC Essence': None, '0.9 TCE 90 ENERGY S&S LIFE ECO2': None, '1.2 TCE 120 INTENS EDC Essence': None, '1.5 DCI 90 ENERGY ARIZONA ECO2': None, '1.5 DCI 90 BUSINESS EDC Diesel': None, '1.5 DCI 90 ARIZONA EDC ECO2 Diesel': None, '0.9 TCE 90 ENERGY ARIZONA ECO2': None, '1.2 TCE 120 ARIZONA EDC Essence': None}",2013,13799.0,14500.0,Nan,less expensive,0169936710 ,Professionnel,48.7216892,2.2830555,http://www.leboncoin.fr/voitures/715687557.htm?ca=12_s
0,ile_de_france,"{'0.9 TCE 90 ENERGY S&S INTENS ECO2': None, '0.9 TCE 90 ENERGY S&S ZEN ECO2': None, '1.2 TCE 120 ZEN EDC Essence': None, '0.9 TCE 90 ENERGY S&S LIFE ECO2': None, '1.2 TCE 120 INTENS EDC Essence': None, '1.5 DCI 90 ENERGY ARIZONA ECO2': None, '1.5 DCI 90 BUSINESS EDC Diesel': None, '1.5 DCI 90 ARIZONA EDC ECO2 Diesel': None, '0.9 TCE 90 ENERGY ARIZONA ECO2': None, '1.2 TCE 120 ARIZONA EDC Essence': None}",2014,10.0,19640.0,Nan,less expensive,0184141900 ,Professionnel,48.921454,2.8083725,http://www.leboncoin.fr/voitures/727655235.htm?ca=12_s
0,ile_de_france,"{'0.9 TCE 90 ENERGY S&S INTENS ECO2': None, '0.9 TCE 90 ENERGY S&S ZEN ECO2': None, '1.2 TCE 120 ZEN EDC Essence': None, '0.9 TCE 90 ENERGY S&S LIFE ECO2': None, '1.2 TCE 120 INTENS EDC Essence': None, '1.5 DCI 90 ENERGY ARIZONA ECO2': None, '1.5 DCI 90 BUSINESS EDC Diesel': None, '1.5 DCI 90 ARIZONA EDC ECO2 Diesel': None, '0.9 TCE 90 ENERGY ARIZONA ECO2': None, '1.2 TCE 120 ARIZONA EDC Essence': None}",2014,10.0,20602.0,Nan,less expensive,0175834788 ,Professionnel,48.7597821,2.3869428,http://www.leboncoin.fr/voitures/727626290.htm?ca=12_s
0,ile_de_france,"{'0.9 TCE 90 ENERGY S&S INTENS ECO2': None, '0.9 TCE 90 ENERGY S&S ZEN ECO2': None, '1.2 TCE 120 ZEN EDC Essence': None, '0.9 TCE 90 ENERGY S&S LIFE ECO2': None, '1.2 TCE 120 INTENS EDC Essence': None, '1.5 DCI 90 ENERGY ARIZONA ECO2': None, '1.5 DCI 90 BUSINESS EDC Diesel': None, '1.5 DCI 90 ARIZONA EDC ECO2 Diesel': None, '0.9 TCE 90 ENERGY ARIZONA ECO2': None, '1.2 TCE 120 ARIZONA EDC Essence': None}",2014,10.0,17560.0,Nan,less expensive,0175834788 ,Professionnel,48.7597821,2.3869428,http://www.leboncoin.fr/voitures/727623829.htm?ca=12_s
0,ile_de_france,"{'0.9 TCE 90 ENERGY S&S INTENS ECO2': None, '0.9 TCE 90 ENERGY S&S ZEN ECO2': None, '1.2 TCE 120 ZEN EDC Essence': None, '0.9 TCE 90 ENERGY S&S LIFE ECO2': None, '1.2 TCE 120 INTENS EDC Essence': None, '1.5 DCI 90 ENERGY ARIZONA ECO2': None, '1.5 DCI 90 BUSINESS EDC Diesel': None, '1.5 DCI 90 ARIZONA EDC ECO2 Diesel': None, '0.9 TCE 90 ENERGY ARIZONA ECO2': None, '1.2 TCE 120 ARIZONA EDC Essence': None}",2013,16000.0,11990.0,Nan,less expensive,0652835009 / 0173490801 ,Professionnel,48.7094011,2.3939064,http://www.leboncoin.fr/voitures/723253543.htm?ca=12_s
0,ile_de_france,"{'0.9 TCE 90 ENERGY S&S INTENS ECO2': None, '0.9 TCE 90 ENERGY S&S ZEN ECO2': None, '1.2 TCE 120 ZEN EDC Essence': None, '0.9 TCE 90 ENERGY S&S LIFE ECO2': None, '1.2 TCE 120 INTENS EDC Essence': None, '1.5 DCI 90 ENERGY ARIZONA ECO2': None, '1.5 DCI 90 BUSINESS EDC Diesel': None, '1.5 DCI 90 ARIZONA EDC ECO2 Diesel': None, '0.9 TCE 90 ENERGY ARIZONA ECO2': None, '1.2 TCE 120 ARIZONA EDC Essence': None}",2014,21754.0,14500.0,Nan,less expensive,0825809109 ,Professionnel,48.8785618,2.3603689,http://www.leboncoin.fr/voitures/727303877.htm?ca=12_s
0,ile_de_france,"{'0.9 TCE 90 ENERGY S&S INTENS ECO2': None, '0.9 TCE 90 ENERGY S&S ZEN ECO2': None, '1.2 TCE 120 ZEN EDC Essence': None, '0.9 TCE 90 ENERGY S&S LIFE ECO2': None, '1.2 TCE 120 INTENS EDC Essence': None, '1.5 DCI 90 ENERGY ARIZONA ECO2': None, '1.5 DCI 90 BUSINESS EDC Diesel': None, '1.5 DCI 90 ARIZONA EDC ECO2 Diesel': None, '0.9 TCE 90 ENERGY ARIZONA ECO2': None, '1.2 TCE 120 ARIZONA EDC Essence': None}",2014,15269.0,14800.0,Nan,less expensive,0825809109 ,Professionnel,48.8293647,2.4265406,http://www.leboncoin.fr/voitures/727316433.htm?ca=12_s
0,ile_de_france,"{'0.9 TCE 90 ENERGY S&S INTENS ECO2': None, '0.9 TCE 90 ENERGY S&S ZEN ECO2': None, '1.2 TCE 120 ZEN EDC Essence': None, '0.9 TCE 90 ENERGY S&S LIFE ECO2': None, '1.2 TCE 120 INTENS EDC Essence': None, '1.5 DCI 90 ENERGY ARIZONA ECO2': None, '1.5 DCI 90 BUSINESS EDC Diesel': None, '1.5 DCI 90 ARIZONA EDC ECO2 Diesel': None, '0.9 TCE 90 ENERGY ARIZONA ECO2': None, '1.2 TCE 120 ARIZONA EDC Essence': None}",2014,14697.0,14800.0,Nan,less expensive,0825809109 / 0652513785 ,Professionnel,48.7468342,2.4054748,http://www.leboncoin.fr/voitures/727307083.htm?ca=12_s
